Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,5840,10.951838,16,,,,,,,,
,,,,,5851,8.252994,11,,,,,,,,
,,,,,5865,12.722379,14,,,,,,,,
,,,,,5884,20.523653,19,,,,,,,,
,,,,,5904,15.423706,20,,,,,,,,
,,,,,5931,36.60624,27,,,,,,,,
,,,,,5949,20.514086,18,,,,,,,,
,,,,,5983,30.782818,34,,,,,,,,
,,,,,6036,90.71835,53,,,,,,,,
,,,,,6050,12.955117,14,,,,,,,,
,,,,,6067,18.361366,17,,,,,,,,
,,,,,6094,21.15978,27,,,,,,,,
,,,,,6110,14.707796,16,,,,,,,,
,,,,,6142,19.059757,32,,,,,,,,
,,,,,6197,68.11547,55,,,,,,,,
,,,,,6213,10.651714,16,,,,,,,,
,,,,,6242,22.001236,29,,,,,,,,
,,,,,6283,20.988434,41,,,,,,,,
,,,,,6347,120.34849,64,,,,,,,,
,,,,,6365,14.696317,18,,,,,,,,
,,,,,6394,10.613015,29,,,,,,,,
,,,,,6424,30.333036,30,,,,,,,,
,,,,,6466,64.7395,42,,,,,,,,
,,,,,6508,62.362476,42,,,,,,,,
,,,,,6537,31.777866,29,,,,,,,,
,,,,,6554,10.1493,17,,,,,,,,
,,,,,6581,20.93747,27,,,,,,,,
,,,,,6615,33.502506,34,,,,,,,,
,,,,,6634,12.840712,19,,,,,,,,
,,,,,6689,51.36617,55,,,,,,,,
,,,,,6714,33.079197,25,,,,,,,,
,,,,,6742,31.633688,28,,,,,,,,
,,,,,6759,12.411343,17,,,,,,,,
,,,,,6774,12.678318,15,,,,,,,,
,,,,,6784,8.2036915,10,,,,,,,,
,,,,,6795,8.886767,11,,,,,,,,
,,,,,6849,86.09198,54,,,,,,,,
,,,,,6860,8.056217,11,,,,,,,,
,,,,,6878,11.081196,18,,,,,,,,
,,,,,6889,7.60324,11,,,,,,,,
,,,,,6901,11.119167,12,,,,,,,,
,,,,,6925,13.04382,24,,,,,,,,
,,,,,6936,9.250773,11,,,,,,,,
,,,,,6955,15.096516,19,,,,,,,,
,,,,,6969,15.374653,14,,,,,,,,
,,,,,6997,21.27452,28,,,,,,,,
,,,,,7031,34.490837,34,,,,,,,,
,,,,,7053,22.054195,22,,,,,,,,
,,,,,7084,17.002497,31,,,,,,,,
,,,,,7104,17.662104,20,,,,,,,,
,,,,,7134,34.591995,30,,,,,,,,
,,,,,7156,12.858917,22,,,,,,,,
,,,,,7169,10.941186,13,,,,,,,,
,,,,,7202,15.819942,33,,,,,,,,
,,,,,7218,13.27218,16,,,,,,,,
,,,,,7233,13.628708,15,,,,,,,,
,,,,,7262,36.653797,29,,,,,,,,
,,,,,7336,106.26801,74,,,,,,,,
,,,,,7357,18.096659,21,,,,,,,,
,,,,,7385,12.797506,28,,,,,,,,
,,,,,7394,6.974452,9,,,,,,,,
,,,,,7407,11.8894615,13,,,,,,,,
,,,,,7417,7.996357,10,,,,,,,,
,,,,,7465,59.633663,48,,,,,,,,
,,,,,7495,13.525974,30,,,,,,,,
,,,,,7521,12.21863,26,,,,,,,,
,,,,,7538,16.822037,17,,,,,,,,
,,,,,7597,104.6764,59,,,,,,,,
,,,,,7648,75.63301,51,,,,,,,,
,,,,,7658,7.530755,10,,,,,,,,
,,,,,7676,16.05535,18,,,,,,,,
,,,,,7689,9.670045,13,,,,,,,,
,,,,,7705,14.868915,16,,,,,,,,
,,,,,7721,15.326703,16,,,,,,,,
,,,,,7747,14.740616,26,,,,,,,,
,,,,,7785,36.140594,38,,,,,,,,
,,,,,7793,6.3963594,8,,,,,,,,
,,,,,7843,70.734116,50,,,,,,,,
,,,,,7885,27.478266,42,,,,,,,,
,,,,,7896,7.3337374,11,,,,,,,,
,,,,,7960,65.9935,64,,,,,,,,
,,,,,7978,10.420387,18,,,,,,,,
,,,,,8024,77.56203,46,,,,,,,,
,,,,,8052,19.821556,28,,,,,,,,
,,,,,8074,11.057192,22,,,,,,,,
,,,,,8086,8.363128,12,,,,,,,,
,,,,,8098,11.053152,12,,,,,,,,
,,,,,8125,20.916765,27,,,,,,,,
,,,,,8153,14.16287,28,,,,,,,,
,,,,,8162,6.6290965,9,,,,,,,,
,,,,,8191,24.993526,29,,,,,,,,
,,,,,8219,19.964594,28,,,,,,,,
,,,,,8239,16.67041,20,,,,,,,,
,,,,,8259,15.685011,20,,,,,,,,
,,,,,8271,8.999113,12,,,,,,,,
,,,,,8310,54.283474,39,,,,,,,,
