Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,5468,73.0,73,,,,,,
,,,,,5497,29.0,29,,,,,,
,,,,,5553,56.0,56,,,,,,
,,,,,5598,45.0,45,,,,,,
,,,,,5761,163.0,163,,,,,,
,,,,,5809,48.0,48,,,,,,
,,,,,5838,29.0,29,,,,,,
,,,,,5848,10.0,10,,,,,,
,,,,,5868,20.0,20,,,,,,
,,,,,5902,34.0,34,,,,,,
,,,,,5939,37.0,37,,,,,,
,,,,,5989,50.0,50,,,,,,
,,,,,5998,9.0,9,,,,,,
,,,,,6000,,,0.15962481498718262,4.680380821228027,4.602377414703369,0.8220533728599548,0.82,0.0005
,,,,,6022,24.0,24,,,,,,
,,,,,6039,17.0,17,,,,,,
,,,,,6054,15.0,15,,,,,,
,,,,,6077,23.0,23,,,,,,
,,,,,6089,12.0,12,,,,,,
,,,,,6107,18.0,18,,,,,,
,,,,,6122,15.0,15,,,,,,
,,,,,6179,57.0,57,,,,,,
,,,,,6203,24.0,24,,,,,,
,,,,,6228,25.0,25,,,,,,
,,,,,6271,43.0,43,,,,,,
,,,,,6287,16.0,16,,,,,,
,,,,,6360,73.0,73,,,,,,
,,,,,6389,29.0,29,,,,,,
,,,,,6408,19.0,19,,,,,,
,,,,,6423,15.0,15,,,,,,
,,,,,6488,65.0,65,,,,,,
,,,,,6519,31.0,31,,,,,,
,,,,,6584,65.0,65,,,,,,
,,,,,6660,76.0,76,,,,,,
,,,,,6696,36.0,36,,,,,,
,,,,,6733,37.0,37,,,,,,
,,,,,6750,17.0,17,,,,,,
,,,,,6819,69.0,69,,,,,,
,,,,,6833,14.0,14,,,,,,
,,,,,6842,9.0,9,,,,,,
,,,,,6881,39.0,39,,,,,,
,,,,,6901,20.0,20,,,,,,
,,,,,6945,44.0,44,,,,,,
,,,,,7000,,,0.05855047330260277,5.849281311035156,5.837071418762207,0.25727328658103943,0.79,0.0005
,,,,,7004,59.0,59,,,,,,
,,,,,7016,12.0,12,,,,,,
,,,,,7058,42.0,42,,,,,,
,,,,,7089,31.0,31,,,,,,
,,,,,7102,13.0,13,,,,,,
,,,,,7137,35.0,35,,,,,,
,,,,,7173,36.0,36,,,,,,
,,,,,7252,79.0,79,,,,,,
,,,,,7284,32.0,32,,,,,,
,,,,,7307,23.0,23,,,,,,
,,,,,7327,20.0,20,,,,,,
,,,,,7355,28.0,28,,,,,,
,,,,,7386,31.0,31,,,,,,
,,,,,7417,31.0,31,,,,,,
,,,,,7453,36.0,36,,,,,,
182.3,20.204208,238.0,165.0,182.3,7500,,,0.03833479434251785,6.5525922775268555,6.568134307861328,0.409297913312912,0.775,0.0005
,,,,,7507,54.0,54,,,,,,
,,,,,7521,14.0,14,,,,,,
,,,,,7557,36.0,36,,,,,,
,,,,,7603,46.0,46,,,,,,
,,,,,7626,23.0,23,,,,,,
,,,,,7676,50.0,50,,,,,,
,,,,,7694,18.0,18,,,,,,
,,,,,7720,26.0,26,,,,,,
,,,,,7782,62.0,62,,,,,,
,,,,,7835,53.0,53,,,,,,
,,,,,7900,65.0,65,,,,,,
,,,,,7938,38.0,38,,,,,,
,,,,,7995,57.0,57,,,,,,
,,,,,8000,,,0.04268718138337135,6.809375762939453,6.760931015014648,0.691945493221283,0.76,0.0005
,,,,,8012,17.0,17,,,,,,
,,,,,8034,22.0,22,,,,,,
,,,,,8062,28.0,28,,,,,,
,,,,,8109,47.0,47,,,,,,
,,,,,8152,43.0,43,,,,,,
,,,,,8205,53.0,53,,,,,,
,,,,,8286,81.0,81,,,,,,
,,,,,8354,68.0,68,,,,,,
,,,,,8375,21.0,21,,,,,,
,,,,,8404,29.0,29,,,,,,
,,,,,8444,40.0,40,,,,,,
,,,,,8472,28.0,28,,,,,,
,,,,,8488,16.0,16,,,,,,
,,,,,8527,39.0,39,,,,,,
,,,,,8545,18.0,18,,,,,,
,,,,,8569,24.0,24,,,,,,
,,,,,8595,26.0,26,,,,,,
,,,,,8613,18.0,18,,,,,,
,,,,,8699,86.0,86,,,,,,
,,,,,8728,29.0,29,,,,,,
,,,,,8760,32.0,32,,,,,,
,,,,,8772,12.0,12,,,,,,
,,,,,8822,50.0,50,,,,,,
,,,,,8843,21.0,21,,,,,,
,,,,,8857,14.0,14,,,,,,
,,,,,8881,24.0,24,,,,,,
,,,,,8934,53.0,53,,,,,,
,,,,,8947,13.0,13,,,,,,
,,,,,9000,,,0.019114350900053978,7.335024356842041,7.3722944259643555,0.4386428892612457,0.73,0.0005
,,,,,9030,83.0,83,,,,,,
,,,,,9069,39.0,39,,,,,,
,,,,,9091,22.0,22,,,,,,
,,,,,9157,66.0,66,,,,,,
,,,,,9168,11.0,11,,,,,,
,,,,,9239,71.0,71,,,,,,
,,,,,9280,41.0,41,,,,,,
,,,,,9293,13.0,13,,,,,,
,,,,,9324,31.0,31,,,,,,
,,,,,9354,30.0,30,,,,,,
,,,,,9423,69.0,69,,,,,,
,,,,,9475,52.0,52,,,,,,
,,,,,9501,26.0,26,,,,,,
,,,,,9532,31.0,31,,,,,,
,,,,,9554,22.0,22,,,,,,
,,,,,9578,24.0,24,,,,,,
,,,,,9599,21.0,21,,,,,,
,,,,,9637,38.0,38,,,,,,
,,,,,9709,72.0,72,,,,,,
,,,,,9722,13.0,13,,,,,,
,,,,,9774,52.0,52,,,,,,
,,,,,9790,16.0,16,,,,,,
,,,,,9831,41.0,41,,,,,,
,,,,,9858,27.0,27,,,,,,
,,,,,9879,21.0,21,,,,,,
,,,,,9946,67.0,67,,,,,,
146.1,29.432806,202.0,108.0,146.1,10000,,,0.026483243331313133,8.257682800292969,8.289281845092773,0.6955864429473877,0.7,0.0005
,,,,,10047,101.0,101,,,,,,
,,,,,10146,99.0,99,,,,,,
,,,,,10194,48.0,48,,,,,,
,,,,,10217,23.0,23,,,,,,
,,,,,10234,17.0,17,,,,,,
,,,,,10257,23.0,23,,,,,,
,,,,,10287,30.0,30,,,,,,
,,,,,10313,26.0,26,,,,,,
