Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1906,8.0,8,,,,,,,,
,,,,,1910,4.0,4,,,,,,,,
,,,,,1921,11.0,11,,,,,,,,
,,,,,1948,27.0,27,,,,,,,,
,,,,,1953,5.0,5,,,,,,,,
,,,,,1957,4.0,4,,,,,,,,
,,,,,1960,3.0,3,,,,,,,,
,,,,,1985,25.0,25,,,,,,,,
,,,,,1990,5.0,5,,,,,,,,
,,,,,2007,17.0,17,,,,,,,,
,,,,,2012,5.0,5,,,,,,,,
,,,,,2023,11.0,11,,,,,,,,
,,,,,2033,10.0,10,,,,,,,,
,,,,,2036,3.0,3,,,,,,,,
,,,,,2039,3.0,3,,,,,,,,
,,,,,2044,5.0,5,,,,,,,,
,,,,,2048,4.0,4,,,,,,,,
,,,,,2054,6.0,6,,,,,,,,
,,,,,2059,5.0,5,,,,,,,,
,,,,,2062,3.0,3,,,,,,,,
,,,,,2066,4.0,4,,,,,,,,
,,,,,2074,8.0,8,,,,,,,,
,,,,,2081,7.0,7,,,,,,,,
,,,,,2086,5.0,5,,,,,,,,
,,,,,2093,7.0,7,,,,,,,,
,,,,,2099,6.0,6,,,,,,,,
,,,,,2106,7.0,7,,,,,,,,
,,,,,2111,5.0,5,,,,,,,,
,,,,,2120,9.0,9,,,,,,,,
,,,,,2123,3.0,3,,,,,,,,
,,,,,2126,3.0,3,,,,,,,,
,,,,,2135,9.0,9,,,,,,,,
,,,,,2141,6.0,6,,,,,,,,
,,,,,2147,6.0,6,,,,,,,,
,,,,,2163,16.0,16,,,,,,,,
,,,,,2171,8.0,8,,,,,,,,
,,,,,2202,31.0,31,,,,,,,,
,,,,,2210,8.0,8,,,,,,,,
,,,,,2216,6.0,6,,,,,,,,
,,,,,2220,4.0,4,,,,,,,,
,,,,,2225,5.0,5,,,,,,,,
,,,,,2230,5.0,5,,,,,,,,
,,,,,2241,11.0,11,,,,,,,,
,,,,,2247,6.0,6,,,,,,,,
,,,,,2251,4.0,4,,,,,,,,
,,,,,2255,4.0,4,,,,,,,,
,,,,,2258,3.0,3,,,,,,,,
,,,,,2263,5.0,5,,,,,,,,
,,,,,2269,6.0,6,,,,,,,,
,,,,,2273,4.0,4,,,,,,,,
,,,,,2279,6.0,6,,,,,,,,
,,,,,2287,8.0,8,,,,,,,,
,,,,,2299,12.0,12,,,,,,,,
,,,,,2304,5.0,5,,,,,,,,
,,,,,2311,7.0,7,,,,,,,,
,,,,,2317,6.0,6,,,,,,,,
,,,,,2327,10.0,10,,,,,,,,
,,,,,2332,5.0,5,,,,,,,,
,,,,,2338,6.0,6,,,,,,,,
,,,,,2344,6.0,6,,,,,,,,
,,,,,2347,3.0,3,,,,,,,,
,,,,,2350,3.0,3,,,,,,,,
,,,,,2354,4.0,4,,,,,,,,
,,,,,2359,5.0,5,,,,,,,,
,,,,,2364,5.0,5,,,,,,,,
,,,,,2370,6.0,6,,,,,,,,
,,,,,2374,4.0,4,,,,,,,,
,,,,,2378,4.0,4,,,,,,,,
,,,,,2386,8.0,8,,,,,,,,
,,,,,2395,9.0,9,,,,,,,,
,,,,,2403,8.0,8,,,,,,,,
,,,,,2409,6.0,6,,,,,,,,
,,,,,2415,6.0,6,,,,,,,,
,,,,,2421,6.0,6,,,,,,,,
,,,,,2425,4.0,4,,,,,,,,
,,,,,2432,7.0,7,,,,,,,,
,,,,,2446,14.0,14,,,,,,,,
,,,,,2452,6.0,6,,,,,,,,
,,,,,2472,20.0,20,,,,,,,,
,,,,,2477,5.0,5,,,,,,,,
,,,,,2490,13.0,13,,,,,,,,
,,,,,2494,4.0,4,,,,,,,,
,,,,,2500,6.0,6,,,,,,,,
,,,,,2512,12.0,12,,,,,,,,
,,,,,2520,8.0,8,,,,,,,,
,,,,,2529,9.0,9,,,,,,,,
,,,,,2538,9.0,9,,,,,,,,
,,,,,2546,8.0,8,,,,,,,,
,,,,,2549,3.0,3,,,,,,,,
,,,,,2560,11.0,11,,,,,,,,
,,,,,2564,4.0,4,,,,,,,,
,,,,,2570,6.0,6,,,,,,,,
,,,,,2574,4.0,4,,,,,,,,
,,,,,2586,12.0,12,,,,,,,,
,,,,,2599,13.0,13,,,,,,,,
,,,,,2603,4.0,4,,,,,,,,
,,,,,2606,3.0,3,,,,,,,,
,,,,,2609,3.0,3,,,,,,,,
,,,,,2612,3.0,3,,,,,,,,
,,,,,2616,4.0,4,,,,,,,,
,,,,,2619,3.0,3,,,,,,,,
,,,,,2625,6.0,6,,,,,,,,
,,,,,2629,4.0,4,,,,,,,,
,,,,,2632,3.0,3,,,,,,,,
,,,,,2642,10.0,10,,,,,,,,
,,,,,2646,4.0,4,,,,,,,,
,,,,,2649,3.0,3,,,,,,,,
,,,,,2653,4.0,4,,,,,,,,
,,,,,2671,18.0,18,,,,,,,,
,,,,,2674,3.0,3,,,,,,,,
,,,,,2682,8.0,8,,,,,,,,
,,,,,2693,11.0,11,,,,,,,,
,,,,,2697,4.0,4,,,,,,,,
,,,,,2704,7.0,7,,,,,,,,
,,,,,2711,7.0,7,,,,,,,,
,,,,,2717,6.0,6,,,,,,,,
,,,,,2720,3.0,3,,,,,,,,
,,,,,2726,6.0,6,,,,,,,,
,,,,,2732,6.0,6,,,,,,,,
,,,,,2738,6.0,6,,,,,,,,
,,,,,2748,10.0,10,,,,,,,,
,,,,,2766,18.0,18,,,,,,,,
,,,,,2769,3.0,3,,,,,,,,
,,,,,2782,13.0,13,,,,,,,,
,,,,,2785,3.0,3,,,,,,,,
,,,,,2796,11.0,11,,,,,,,,
,,,,,2802,6.0,6,,,,,,,,
,,,,,2814,12.0,12,,,,,,,,
,,,,,2817,3.0,3,,,,,,,,
,,,,,2822,5.0,5,,,,,,,,
,,,,,2829,7.0,7,,,,,,,,
,,,,,2835,6.0,6,,,,,,,,
,,,,,2841,6.0,6,,,,,,,,
,,,,,2846,5.0,5,,,,,,,,
,,,,,2849,3.0,3,,,,,,,,
,,,,,2854,5.0,5,,,,,,,,
,,,,,2860,6.0,6,,,,,,,,
,,,,,2874,14.0,14,,,,,,,,
,,,,,2878,4.0,4,,,,,,,,
,,,,,2885,7.0,7,,,,,,,,
,,,,,2889,4.0,4,,,,,,,,
,,,,,2893,4.0,4,,,,,,,,
,,,,,2900,7.0,7,,,,,,,,
,,,,,2912,12.0,12,,,,,,,,
,,,,,2927,15.0,15,,,,,,,,
,,,,,2930,3.0,3,,,,,,,,
,,,,,2933,3.0,3,,,,,,,,
,,,,,2945,12.0,12,,,,,,,,
,,,,,2951,6.0,6,,,,,,,,
,,,,,2958,7.0,7,,,,,,,,
,,,,,2961,3.0,3,,,,,,,,
,,,,,2966,5.0,5,,,,,,,,
,,,,,2974,8.0,8,,,,,,,,
,,,,,2978,4.0,4,,,,,,,,
,,,,,2989,11.0,11,,,,,,,,
,,,,,2993,4.0,4,,,,,,,,
,,,,,3003,10.0,10,,,,,,,,
,,,,,3011,8.0,8,,,,,,,,
,,,,,3016,5.0,5,,,,,,,,
,,,,,3028,12.0,12,,,,,,,,
,,,,,3031,3.0,3,,,,,,,,
,,,,,3037,6.0,6,,,,,,,,
,,,,,3042,5.0,5,,,,,,,,
,,,,,3051,9.0,9,,,,,,,,
,,,,,3062,11.0,11,,,,,,,,
,,,,,3074,12.0,12,,,,,,,,
,,,,,3097,23.0,23,,,,,,,,
,,,,,3103,6.0,6,,,,,,,,
