Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,43000,,,-81.65889739990234,-5.289995193481445,0.4724409282207489,80.63002014160156,80.59649658203125,0.02276255190372467,-3.8454225063323975,0.0003,0.0003,0.022760946303606033
,,,,,43999,1851.7498,1000,,,,,,,,,,
,,,,,44000,,,-86.1952896118164,-5.50853967666626,0.46526816487312317,85.18574523925781,85.23052978515625,0.02126358076930046,-1.539494276046753,0.0003,0.0003,0.0212622731924057
,,,,,44999,961.5416,1000,,,,,,,,,,
1686.5416,221.75754,1892.6573,1184.434,1000.0,45000,,,-89.37657165527344,-5.455059051513672,0.46008071303367615,88.30812072753906,88.13246154785156,0.020010262727737427,-2.425323486328125,0.0003,0.0003,0.020009055733680725
,,,,,45999,1192.509,1000,,,,,,,,,,
,,,,,46000,,,-91.88118743896484,-6.30974817276001,0.46577221155166626,90.79158020019531,90.93099975585938,0.018913527950644493,1.1091110706329346,0.0003,0.0003,0.018912937492132187
,,,,,46999,802.0996,1000,,,,,,,,,,
,,,,,47000,,,-91.96005249023438,-6.094634532928467,0.4516776204109192,90.97493743896484,91.02253723144531,0.01819135621190071,0.1350943148136139,0.0003,0.0003,0.018191112205386162
,,,,,47999,1898.4999,1000,,,,,,,,,,
,,,,,48000,,,-95.68492889404297,-5.999899387359619,0.5192911624908447,94.76043701171875,94.93921661376953,0.01763550005853176,-1.7041863203048706,0.0003,0.0003,0.017634525895118713
,,,,,48999,1153.0109,1000,,,,,,,,,,
,,,,,49000,,,-98.6288070678711,-6.1701555252075195,0.6205959916114807,97.51195526123047,97.51710510253906,0.017516959458589554,-0.2548302412033081,0.0003,0.0003,0.0175163596868515
,,,,,49999,958.6169,1000,,,,,,,,,,
1837.9293,389.915,2094.7495,892.5357,1000.0,50000,,,-94.92942810058594,-6.1622819900512695,0.47693365812301636,93.80231475830078,93.91712951660156,0.017623430117964745,0.30600303411483765,0.0003,0.0003,0.01762370578944683
,,,,,50999,2085.658,1000,,,,,,,,,,
,,,,,51000,,,-102.3075180053711,-6.246787071228027,0.47893327474594116,101.1826400756836,101.229248046875,0.017736345529556274,-0.15218114852905273,0.0003,0.0003,0.017736515030264854
,,,,,51999,2073.7722,1000,,,,,,,,,,
,,,,,52000,,,-106.54644012451172,-6.30247163772583,0.44221973419189453,105.76638793945312,105.54070281982422,0.01794617809355259,1.3319475650787354,0.0003,0.0003,0.017946844920516014
,,,,,52999,2190.0002,1000,,,,,,,,,,
,,,,,53000,,,-111.28347778320312,-6.155576705932617,0.45279085636138916,109.96476745605469,110.02774810791016,0.018543802201747894,1.4404363632202148,0.0003,0.0003,0.018543466925621033
,,,,,53999,2255.2727,1000,,,,,,,,,,
,,,,,54000,,,-112.41139221191406,-6.325353622436523,0.5601732134819031,111.38316345214844,111.43240356445312,0.01874968595802784,1.778224229812622,0.0003,0.0003,0.018750397488474846
,,,,,54999,2282.5967,1000,,,,,,,,,,
2295.0002,38.065517,2354.2395,2232.2239,1000.0,55000,,,-115.82312774658203,-6.298388481140137,0.5396608710289001,114.6705551147461,114.64430236816406,0.018974917009472847,0.42791569232940674,0.0003,0.0003,0.01897471398115158
,,,,,55999,2291.919,1000,,,,,,,,,,
,,,,,56000,,,-114.32633972167969,-6.335367679595947,0.5108146071434021,113.24162292480469,113.33038330078125,0.019546721130609512,0.5295616388320923,0.0003,0.0003,0.019548501819372177
,,,,,56999,2322.645,1000,,,,,,,,,,
,,,,,57000,,,-119.3757553100586,-5.649182319641113,0.5120277404785156,118.43053436279297,118.38829040527344,0.020132428035140038,-1.012090802192688,0.0003,0.0003,0.02013375796377659
,,,,,57999,2346.7446,1000,,,,,,,,,,
,,,,,58000,,,-123.7066421508789,-6.347014427185059,0.5248054265975952,122.71634674072266,122.74352264404297,0.020288746803998947,0.5011841058731079,0.0003,0.0003,0.02028924971818924
,,,,,58999,2303.213,1000,,,,,,,,,,
,,,,,59000,,,-129.2187957763672,-6.19750452041626,0.6660001277923584,128.21810913085938,128.22793579101562,0.020880786702036858,1.029427409172058,0.0003,0.0003,0.02088226191699505
,,,,,59999,2363.4177,1000,,,,,,,,,,
2351.9348,119.230034,2424.625,2001.0024,1000.0,60000,,,-129.15191650390625,-6.221601963043213,0.7326458692550659,128.1351318359375,128.1493682861328,0.021390791982412338,0.955091655254364,0.0003,0.0003,0.021390991285443306
,,,,,60999,2342.2402,1000,,,,,,,,,,
,,,,,61000,,,-126.71031951904297,-6.219399452209473,0.49116259813308716,125.58233642578125,125.59046936035156,0.02176925353705883,2.391296863555908,0.0003,0.0003,0.021771516650915146
,,,,,61999,2452.7822,1000,,,,,,,,,,
,,,,,62000,,,-134.33560180664062,-6.145163059234619,0.6209038496017456,133.22918701171875,133.16624450683594,0.022293521091341972,0.925032377243042,0.0003,0.0003,0.022294748574495316
,,,,,62999,2434.4124,1000,,,,,,,,,,
,,,,,63000,,,-142.2585906982422,-6.2740478515625,0.5712767243385315,141.2236785888672,141.11448669433594,0.022658515721559525,1.3334345817565918,0.0003,0.0003,0.022658493369817734
,,,,,63999,2418.6794,1000,,,,,,,,,,
,,,,,64000,,,-136.28932189941406,-5.728010177612305,0.66087806224823,135.3465118408203,135.16482543945312,0.02294827438890934,-1.8331570625305176,0.0003,0.0003,0.022946786135435104
,,,,,64999,2549.2812,1000,,,,,,,,,,
2477.7627,46.627533,2562.7192,2390.2454,1000.0,65000,,,-146.8477020263672,-6.172971248626709,0.6010349988937378,145.7467498779297,145.72952270507812,0.023358184844255447,1.0467455387115479,0.0003,0.0003,0.023359309881925583
,,,,,65999,2536.0361,1000,,,,,,,,,,
,,,,,66000,,,-148.062744140625,-5.8704376220703125,0.5398363471031189,147.0231475830078,147.1078338623047,0.024002715945243835,-0.03963732719421387,0.0003,0.0003,0.02400391735136509
,,,,,66999,2611.0378,1000,,,,,,,,,,
,,,,,67000,,,-155.7902374267578,-6.33659029006958,0.6975366473197937,154.63314819335938,154.68582153320312,0.02434275858104229,1.2885366678237915,0.0003,0.0003,0.024344075471162796
,,,,,67999,2691.2114,1000,,,,,,,,,,
,,,,,68000,,,-154.6751251220703,-6.0216264724731445,0.5655770301818848,153.45095825195312,153.40771484375,0.024618783965706825,0.31948769092559814,0.0003,0.0003,0.02461923472583294
,,,,,68999,2633.6394,1000,,,,,,,,,,
,,,,,69000,,,-161.53607177734375,-6.1640472412109375,0.5883426070213318,160.3729248046875,160.39352416992188,0.025058820843696594,-0.32837021350860596,0.0003,0.0003,0.025059765204787254
