Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,25972,-19.573174,106,,,,,,
,,,,,26000,,,10.733208656311035,-10.364171981811523,-11.300731658935547,31.288827896118164,0.844,0.01
,,,,,26051,-125.57574,79,,,,,,
,,,,,26121,-73.83564,70,,,,,,
,,,,,26267,-230.36801,146,,,,,,
,,,,,26347,-75.0461,80,,,,,,
,,,,,26463,-68.018486,116,,,,,,
,,,,,26541,-112.3469,78,,,,,,
,,,,,26640,-104.10407,99,,,,,,
,,,,,26722,-140.43268,82,,,,,,
,,,,,26811,-203.20206,89,,,,,,
,,,,,26908,-140.40396,97,,,,,,
,,,,,27000,,,199.43190002441406,-8.220819473266602,-5.224842548370361,75.40731811523438,0.838,0.01
,,,,,27041,-45.41396,133,,,,,,
,,,,,27165,-0.91187286,124,,,,,,
,,,,,27287,-99.34758,122,,,,,,
,,,,,27408,-79.374016,121,,,,,,
,,,,,27475,-55.95893,67,,,,,,
,,,,,27544,-74.31244,69,,,,,,
,,,,,27616,-75.53505,72,,,,,,
,,,,,27714,-181.13028,98,,,,,,
,,,,,27806,-118.48692,92,,,,,,
,,,,,27908,-74.57921,102,,,,,,
,,,,,27989,-87.989334,81,,,,,,
,,,,,28000,,,10.411552429199219,-8.114075660705566,-8.623984336853027,18.218727111816406,0.832,0.01
,,,,,28101,-80.222084,112,,,,,,
,,,,,28177,-93.05323,76,,,,,,
,,,,,28299,-96.07645,122,,,,,,
,,,,,28414,-184.15297,115,,,,,,
,,,,,28514,-209.14578,100,,,,,,
,,,,,28579,-95.799,65,,,,,,
,,,,,28644,-96.715164,65,,,,,,
,,,,,28798,-325.1445,154,,,,,,
,,,,,28881,-63.187416,83,,,,,,
,,,,,28966,-211.65762,85,,,,,,
,,,,,29000,,,229.81298828125,-8.87286376953125,-7.216949462890625,151.46087646484375,0.8260000000000001,0.01
,,,,,29072,-132.78302,106,,,,,,
,,,,,29159,-88.02497,87,,,,,,
,,,,,29256,-122.27795,97,,,,,,
,,,,,29348,-120.32972,92,,,,,,
,,,,,29436,-61.455597,88,,,,,,
,,,,,29508,-67.1746,72,,,,,,
,,,,,29633,-72.26645,125,,,,,,
,,,,,29745,-70.09842,112,,,,,,
,,,,,29819,-103.36081,74,,,,,,
,,,,,29906,-79.08794,87,,,,,,
-175.72472,13.721985,-153.22336,-198.82303,915.1,30000,,,13.981806755065918,-7.623313903808594,-5.447026252746582,40.65645980834961,0.82,0.01
,,,,,30002,-158.68277,96,,,,,,
,,,,,30105,-112.48324,103,,,,,,
,,,,,30205,-54.240654,100,,,,,,
,,,,,30300,-122.7545,95,,,,,,
,,,,,30428,-197.22815,128,,,,,,
,,,,,30519,-80.61308,91,,,,,,
,,,,,30615,-115.89888,96,,,,,,
,,,,,30704,-20.346672,89,,,,,,
,,,,,30818,-130.36159,114,,,,,,
,,,,,30893,-74.07265,75,,,,,,
,,,,,31000,,,82.5352554321289,-11.067753791809082,-9.634302139282227,51.157325744628906,0.8140000000000001,0.01
,,,,,31007,-62.453434,114,,,,,,
