step,v_loss,q_loss,policy_loss
111,3.3670116863504518e-06,3.651656152214855e-05,2.0771665573120117
112,2.4563416900491575e-06,2.6918078219750896e-05,2.077747344970703
113,1.0585794143480598e-06,2.477479210938327e-05,2.0776000022888184
114,1.460781959394808e-06,2.167522325180471e-05,2.0779316425323486
115,1.792598368410836e-06,4.068424823344685e-05,2.079158306121826
116,2.107798536599148e-06,2.695554940146394e-05,2.0774192810058594
117,2.2112672013463452e-06,3.136107261525467e-05,2.078876256942749
118,2.736136593739502e-06,2.4646258680149913e-05,2.0788986682891846
119,1.5549139789072797e-06,2.7648595278151333e-05,2.0776333808898926
120,1.811256879591383e-06,2.8117941837990656e-05,2.0780272483825684
121,1.5118698684091214e-06,3.274519622209482e-05,2.0785226821899414
122,2.0235079318808857e-06,3.991823541582562e-05,2.0777101516723633
123,1.5293296655727318e-06,3.323864802950993e-05,2.0782008171081543
124,2.5864205781545024e-06,3.828818444162607e-05,2.0770769119262695
125,2.574081463535549e-06,3.7387755583040416e-05,2.078202247619629
126,2.5454864953644574e-06,3.2976142392726615e-05,2.0774192810058594
127,1.0902851954597281e-06,2.3178465198725462e-05,2.077770709991455
128,1.0891515103139682e-06,1.8742026441032067e-05,2.0788662433624268
129,1.8528462533140555e-06,2.3863627575337887e-05,2.0773134231567383
130,2.455517005728325e-06,3.2019153877627105e-05,2.0784051418304443
131,1.6646952190058073e-06,3.8417048926930875e-05,2.07774019241333
132,1.360251530968526e-06,2.8674339773715474e-05,2.0781264305114746
133,2.9764191822323482e-06,3.090055179200135e-05,2.077251434326172
134,1.6064777810242958e-06,2.378505450906232e-05,2.0782647132873535
135,1.8650241599971196e-06,3.548109089024365e-05,2.0776617527008057
136,1.4608361880164011e-06,3.113071579718962e-05,2.078062057495117
137,1.0338632137063541e-06,3.173395816702396e-05,2.0781683921813965
138,1.0039885864898679e-06,3.466274938546121e-05,2.0768418312072754
139,1.4679455944133224e-06,2.9989099857630208e-05,2.0783731937408447
140,1.7352443819618202e-06,3.357239984325133e-05,2.077355146408081
141,1.3895145229980699e-06,2.8277405363041908e-05,2.0766067504882812
142,2.0813131413888186e-06,2.5977918994612992e-05,2.077561855316162
143,2.838588898157468e-06,3.4009135561063886e-05,2.076327085494995
144,2.957971901196288e-06,4.5610540837515146e-05,2.0774013996124268
145,9.621901426726254e-07,2.6545822038315237e-05,2.077544689178467
146,1.6853393844940001e-06,2.2041733245714568e-05,2.0789589881896973
147,1.9142321434628684e-06,2.2662636183667928e-05,2.0785069465637207
