Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,93000,,,4.745635509490967,24.805816650390625,25.50330924987793,260.58099365234375,0.8494375000000001,9.447906250000001e-05
,,,,,93128,200.0,1970,,,,,,
,,,,,93480,150.0,1426,,,,,,
,,,,,93907,240.0,1730,,,,,,
,,,,,94000,,,9.935430526733398,27.024383544921875,25.029586791992188,688.1722412109375,0.847375,9.437489583333334e-05
,,,,,94434,260.0,2130,,,,,,
,,,,,95000,,,34.762451171875,33.42853927612305,34.40022277832031,313.1489562988281,0.8453125,9.427072916666667e-05
,,,,,95329,840.0,3586,,,,,,
,,,,,95867,330.0,2154,,,,,,
,,,,,96000,,,4.837821006774902,26.786300659179688,25.519638061523438,437.650390625,0.84325,9.41665625e-05
,,,,,96388,230.0,2106,,,,,,
,,,,,96849,270.0,1858,,,,,,
,,,,,97000,,,4.54379940032959,30.78675079345703,30.489238739013672,300.6809997558594,0.8411875,9.406239583333334e-05
,,,,,97270,240.0,1706,,,,,,
,,,,,97762,250.0,1978,,,,,,
,,,,,98000,,,7.111729621887207,26.897533416748047,27.125240325927734,187.31532287597656,0.839125,9.395822916666667e-05
,,,,,98271,260.0,2058,,,,,,
,,,,,98682,270.0,1666,,,,,,
,,,,,99000,,,5.482806205749512,28.67118263244629,27.852214813232422,282.1310119628906,0.8370625,9.385406250000001e-05
,,,,,99177,280.0,2002,,,,,,
,,,,,99568,210.0,1586,,,,,,
586.0,139.65672,680.0,320.0,2384.4,100000,,,8.416531562805176,29.582599639892578,29.316923141479492,232.7029266357422,0.835,9.374989583333334e-05
,,,,,100093,260.0,2106,,,,,,
,,,,,100679,500.0,2362,,,,,,
,,,,,101000,,,5.213366508483887,34.0719108581543,34.35655975341797,243.54893493652344,0.8329375,9.364572916666668e-05
,,,,,101069,150.0,1562,,,,,,
,,,,,102000,,,121.7413330078125,29.465057373046875,30.80975914001465,456.3961181640625,0.830875,9.35415625e-05
,,,,,102067,1440.0,4010,,,,,,
,,,,,102529,300.0,1858,,,,,,
,,,,,102982,290.0,1834,,,,,,
,,,,,103000,,,6.657829284667969,30.55950927734375,29.47077178955078,417.1812744140625,0.8288125,9.343739583333334e-05
,,,,,103482,340.0,2002,,,,,,
,,,,,103844,110.0,1466,,,,,,
,,,,,104000,,,6.847731590270996,32.42105484008789,30.599939346313477,676.1419067382812,0.82675,9.333322916666666e-05
,,,,,104325,320.0,1938,,,,,,
,,,,,105000,,,3.383147716522217,34.19002151489258,33.912864685058594,168.04318237304688,0.8246875,9.32290625e-05
,,,,,105003,510.0,2714,,,,,,
,,,,,105726,620.0,2898,,,,,,
,,,,,106000,,,175.65078735351562,29.78921127319336,30.9401912689209,664.00927734375,0.8226249999999999,9.312489583333333e-05
,,,,,106239,330.0,2082,,,,,,
,,,,,106641,190.0,1618,,,,,,
,,,,,107000,,,6.11225700378418,34.77348327636719,34.85218811035156,169.4156494140625,0.8205625,9.302072916666668e-05
,,,,,107086,270.0,1786,,,,,,
,,,,,107623,310.0,2146,,,,,,
,,,,,108000,,,20.430286407470703,32.50935363769531,32.77769470214844,375.7887268066406,0.8185,9.29165625e-05
,,,,,108117,310.0,2002,,,,,,
,,,,,108734,510.0,2490,,,,,,
,,,,,109000,,,8.629101753234863,35.71700668334961,35.381126403808594,241.10386657714844,0.8164374999999999,9.281239583333335e-05
,,,,,109311,320.0,2330,,,,,,
,,,,,109859,350.0,2202,,,,,,
486.0,252.03967,1150.0,300.0,2628.4,110000,,,21.784860610961914,40.12761688232422,41.968841552734375,845.3988647460938,0.8143750000000001,9.270822916666668e-05
,,,,,110394,290.0,2154,,,,,,
,,,,,111000,,,12.481832504272461,35.31475830078125,35.1611328125,387.5620422363281,0.8123125,9.26040625e-05
,,,,,111081,670.0,2770,,,,,,
,,,,,111435,140.0,1434,,,,,,
,,,,,111978,320.0,2186,,,,,,
,,,,,112000,,,7.2834930419921875,33.54601287841797,32.243080139160156,463.01922607421875,0.81025,9.249989583333333e-05
,,,,,112678,530.0,2818,,,,,,
,,,,,113000,,,4.682468891143799,36.36383056640625,35.48339080810547,396.49261474609375,0.8081875000000001,9.239572916666666e-05
,,,,,113137,250.0,1850,,,,,,
,,,,,113839,700.0,2826,,,,,,
,,,,,114000,,,5.082420349121094,30.907665252685547,31.04823875427246,223.71173095703125,0.806125,9.22915625e-05
,,,,,114265,80.0,1706,,,,,,
,,,,,114767,290.0,2034,,,,,,
,,,,,115000,,,4.559060096740723,36.214622497558594,35.35882568359375,323.2411804199219,0.8040625,9.218739583333333e-05
,,,,,115158,240.0,1578,,,,,,
,,,,,115776,350.0,2490,,,,,,
,,,,,116000,,,9.492403030395508,32.99478530883789,32.66162109375,244.83396911621094,0.802,9.208322916666667e-05
,,,,,116280,320.0,2042,,,,,,
,,,,,116835,220.0,2242,,,,,,
,,,,,117000,,,8.671276092529297,33.56383514404297,33.647789001464844,182.55764770507812,0.7999375,9.19790625e-05
,,,,,117409,360.0,2322,,,,,,
,,,,,117863,290.0,1842,,,,,,
,,,,,118000,,,8.564737319946289,40.28034973144531,40.807594299316406,325.40301513671875,0.797875,9.187489583333334e-05
,,,,,118159,160.0,1202,,,,,,
,,,,,118717,320.0,2258,,,,,,
,,,,,119000,,,3.6795520782470703,30.394325256347656,30.338529586791992,165.96961975097656,0.7958125,9.177072916666667e-05
,,,,,119197,260.0,1938,,,,,,
,,,,,119585,190.0,1554,,,,,,
702.0,229.6432,960.0,250.0,3054.0,120000,,,7.42673397064209,36.795196533203125,34.93011474609375,665.7548217773438,0.79375,9.16665625e-05
,,,,,120332,500.0,2986,,,,,,
,,,,,121000,,,6.86143159866333,38.894432067871094,38.35206604003906,281.57122802734375,0.7916875,9.156239583333333e-05
,,,,,121141,680.0,3258,,,,,,
,,,,,121663,310.0,2090,,,,,,
,,,,,122000,,,3.4588451385498047,33.67816925048828,32.84770584106445,356.8560485839844,0.789625,9.145822916666667e-05
,,,,,122132,280.0,1882,,,,,,
,,,,,122598,350.0,1866,,,,,,
,,,,,123000,,,2.7734742164611816,33.60325241088867,33.21418762207031,184.42645263671875,0.7875625,9.13540625e-05
,,,,,123070,240.0,1898,,,,,,
,,,,,123551,240.0,1930,,,,,,
,,,,,123972,240.0,1698,,,,,,
,,,,,124000,,,6.978925704956055,30.77794075012207,31.4619083404541,314.5736999511719,0.7855,9.124989583333334e-05
,,,,,124498,330.0,2122,,,,,,
,,,,,124971,270.0,1914,,,,,,
,,,,,125000,,,7.036617755889893,38.240135192871094,37.73451614379883,349.6255798339844,0.7834375,9.114572916666667e-05
,,,,,125461,320.0,1978,,,,,,
,,,,,125969,250.0,2058,,,,,,
,,,,,126000,,,7.91829252243042,42.08279800415039,40.58149337768555,597.8502197265625,0.781375,9.10415625e-05
,,,,,126464,270.0,1994,,,,,,
,,,,,126970,250.0,2034,,,,,,
,,,,,127000,,,5.958499908447266,37.75605010986328,37.025604248046875,418.59222412109375,0.7793125,9.093739583333334e-05
,,,,,127477,340.0,2034,,,,,,
,,,,,127904,250.0,1730,,,,,,
,,,,,128000,,,4.546231269836426,35.68891143798828,36.005104064941406,236.5428924560547,0.77725,9.083322916666667e-05
,,,,,128554,470.0,2618,,,,,,
,,,,,129000,,,3.7226076126098633,38.673980712890625,38.00017547607422,288.4731750488281,0.7751875,9.072906250000001e-05
,,,,,129054,190.0,2002,,,,,,
,,,,,129450,190.0,1602,,,,,,
404.0,46.946777,540.0,380.0,2302.0,130000,,,5.714267730712891,36.230140686035156,36.051612854003906,198.35626220703125,0.7731250000000001,9.062489583333333e-05
,,,,,130092,430.0,2594,,,,,,
,,,,,130477,250.0,1546,,,,,,
,,,,,131000,,,62.057865142822266,43.15873718261719,44.77680206298828,901.4014282226562,0.7710625,9.052072916666667e-05
,,,,,131002,270.0,2114,,,,,,
,,,,,131419,310.0,1690,,,,,,
,,,,,131964,360.0,2202,,,,,,
,,,,,132000,,,17.038562774658203,41.42878341674805,41.560523986816406,374.8109130859375,0.769,9.04165625e-05
,,,,,132437,300.0,1922,,,,,,
,,,,,132923,250.0,1962,,,,,,
,,,,,133000,,,5.557645797729492,35.88658905029297,36.875057220458984,419.8553466796875,0.7669375,9.031239583333334e-05
,,,,,133450,360.0,2130,,,,,,
,,,,,133808,160.0,1450,,,,,,
,,,,,134000,,,62.34321975708008,40.079402923583984,41.54389190673828,543.8534545898438,0.764875,9.020822916666667e-05
,,,,,134387,360.0,2314,,,,,,
,,,,,134802,210.0,1674,,,,,,
,,,,,135000,,,17.005905151367188,41.33616256713867,40.033042907714844,567.3480834960938,0.7628125,9.010406250000001e-05
,,,,,135486,490.0,2754,,,,,,
,,,,,136000,,,7.535568714141846,42.65454864501953,42.79618835449219,212.7909698486328,0.76075,8.999989583333334e-05
,,,,,136064,310.0,2314,,,,,,
,,,,,136466,220.0,1634,,,,,,
,,,,,136990,370.0,2122,,,,,,
,,,,,137000,,,6.296220302581787,37.111915588378906,35.95787048339844,469.5604248046875,0.7586875,8.989572916666668e-05
,,,,,137306,170.0,1266,,,,,,
,,,,,137952,420.0,2594,,,,,,
,,,,,138000,,,9.763357162475586,36.895286560058594,36.97779083251953,615.3890991210938,0.756625,8.979156250000001e-05
,,,,,138619,1780.0,2690,,,,,,
,,,,,139000,,,5.510706901550293,38.84870147705078,39.132225036621094,246.24021911621094,0.7545625,8.968739583333334e-05
,,,,,139083,240.0,1882,,,,,,
,,,,,139512,210.0,1738,,,,,,
566.0,290.07587,940.0,230.0,2918.8,140000,,,6.902727127075195,39.495452880859375,39.78169250488281,335.0965270996094,0.7525,8.958322916666667e-05
,,,,,140020,280.0,2058,,,,,,
,,,,,140455,260.0,1746,,,,,,
,,,,,140953,400.0,2002,,,,,,
,,,,,141000,,,13.291742324829102,46.361019134521484,44.42157745361328,897.7931518554688,0.7504375,8.94790625e-05
,,,,,141471,410.0,2090,,,,,,
,,,,,142000,,,23.317829132080078,42.52314758300781,42.673095703125,449.6174621582031,0.748375,8.937489583333334e-05
,,,,,142160,600.0,2778,,,,,,
,,,,,142571,240.0,1650,,,,,,
,,,,,143000,,,11.216303825378418,50.39104461669922,48.945045471191406,671.1117553710938,0.7463125,8.927072916666667e-05
,,,,,143299,450.0,2922,,,,,,
,,,,,143902,770.0,2434,,,,,,
,,,,,144000,,,6.352529525756836,41.91590118408203,41.78276062011719,253.07028198242188,0.74425,8.916656250000001e-05
,,,,,144385,380.0,1930,,,,,,
,,,,,144984,360.0,2410,,,,,,
,,,,,145000,,,48.306270599365234,43.139713287353516,43.418907165527344,729.6097412109375,0.7421875,8.906239583333334e-05
,,,,,145427,300.0,1794,,,,,,
,,,,,145902,290.0,1930,,,,,,
,,,,,146000,,,7.178075790405273,39.82435607910156,39.434814453125,286.9555969238281,0.7401249999999999,8.895822916666668e-05
,,,,,146330,260.0,1722,,,,,,
,,,,,146804,280.0,1898,,,,,,
