Step,Date,Portfolio_Value,Step_Reward,w_SPY,w_EEM,w_TLT,w_HYG,w_DBC,w_GLD,w_UUP,w_SHY
129,,0.9944596995842881,-0.0014660336924367454,0.12499828636646271,0.12499828636646271,0.12499828636646271,0.12499828636646271,0.12499828636646271,0.12499828636646271,0.12501201033592224,0.12499828636646271
130,,0.9897991278356422,-0.004697552813820028,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12500019371509552
131,,0.9985437927711125,0.008795989087774257,0.12499992549419403,0.12499992549419403,0.12499992549419403,0.12500055134296417,0.12499992549419403,0.12499992549419403,0.12499994039535522,0.12499992549419403
132,,0.9928284430888776,-0.0057401276087495606,0.25282612442970276,0.019763736054301262,0.24948595464229584,0.019763533025979996,0.020172761753201485,0.17929311096668243,0.23892995715141296,0.019764825701713562
133,,0.9904086325072992,-0.002440264769314303,0.29796600341796875,0.06431503593921661,0.005708406213670969,0.17941157519817352,0.09157226234674454,0.19217561185359955,0.12630032002925873,0.04255077987909317
134,,0.9879011417907215,-0.0025349842496318934,0.010728152468800545,0.1054546907544136,0.19870436191558838,0.010774091817438602,0.010728152468800545,0.2604708969593048,0.0383031852543354,0.3648364543914795
135,,0.9776649433472346,-0.010415616203666907,0.048571884632110596,0.048571884632110596,0.048571884632110596,0.04857197776436806,0.6599955558776855,0.048573095351457596,0.048571884632110596,0.048571884632110596
136,,0.9750287322413902,-0.002700078092525659,0.12499606609344482,0.12502752244472504,0.12499606609344482,0.12499608099460602,0.12499606609344482,0.12499606609344482,0.12499606609344482,0.12499606609344482
137,,0.9738718465766265,-0.0011872188999503548,0.12499913573265076,0.12500610947608948,0.12499913573265076,0.12499913573265076,0.12499913573265076,0.12499913573265076,0.12499913573265076,0.12499913573265076
138,,0.9794928121184927,0.005755178411440142,0.3197510242462158,0.45025333762168884,0.037245530635118484,0.03724581003189087,0.03803103789687157,0.03724553436040878,0.037245530635118484,0.042982131242752075
139,,0.9751959137662581,-0.004396511031829049,0.12499932944774628,0.12499932944774628,0.12499932944774628,0.12499932944774628,0.12500472366809845,0.12499932944774628,0.12499932944774628,0.12499932944774628
140,,0.9589774746594073,-0.01677080176474871,0.05089781433343887,0.05089781433343887,0.05089781433343887,0.05089781433343887,0.6432334184646606,0.05089781433343887,0.051090531051158905,0.0511869415640831
